"fold","num_algos","airt_mu","shapley_mu","topset_mu","airt_sd","shapley_sd","topset_sd","num_obs_infold"
1,1,0.0120544545454545,0.0120544545454545,0.0221762727272727,0.0114455240366148,0.0114455240366148,0.0443243119880972,11
1,2,0.0171153636363636,0.034912,0.0399729090909091,0.0227243910293443,0.03709369137131,0.0397408600616659,11
1,3,0.0219034242424242,0.0435976363636364,0.0371417878787879,0.0244125456395277,0.0429913341367135,0.0374882635134052,11
1,4,0.0295071363636364,0.0382422954545454,0.0426083181818182,0.0317648076502054,0.0334101094763655,0.0405622140096376,11
1,5,0.0370334545454545,0.0490029454545454,0.0364975454545455,0.0368150139143357,0.0592097165724067,0.0330727312162864,11
1,6,0.0453346212121212,0.0832732727272727,0.0395401212121212,0.0457589204321039,0.0786175232140913,0.0322609951121828,11
1,7,0.0475680909090909,0.0809683376623377,0.0397842207792208,0.0480247475731246,0.0761583262566703,0.0312386425088114,11
1,8,0.0477536590909091,0.0796581931818182,0.0424323068181818,0.0473741864110579,0.0695651157013468,0.0331663929181975,11
1,9,0.0510274848484849,0.0766204242424243,0.0448349696969697,0.0504372321461647,0.068719277622603,0.0313278298007131,11
1,10,0.0588454363636364,0.0721063363636364,0.0524373727272727,0.0582158900735061,0.0651313254341914,0.0400737050433346,11
1,11,0.0584733966942149,0.0709155702479339,0.0521296694214876,0.053439799701171,0.0633946894973697,0.0395140055649332,11
1,12,0.0628225909090909,0.0694452045454546,0.0533804242424242,0.0599474080792496,0.0598113085961032,0.0406885580292963,11
1,13,0.0624338951048951,0.0672762517482517,0.0552140909090909,0.0589580509617826,0.0561108252888669,0.0425472307767243,11
1,14,0.064549012987013,0.0802007077922078,0.056305025974026,0.0647479644632281,0.0555525247103619,0.0416312248290586,11
2,1,0.0352011,0.0352011,0.0217155,0.0419566764133619,0.0419566764133619,0.0485970632588934,10
2,2,0.0284583,0.0284583,0.05340165,0.0364032863864423,0.0364032863864423,0.052620834263758,10
