"latenttrait","clasp/2.1.3/h1-n1","clasp/2.1.3/h10-n1","clasp/2.1.3/h11-n1","clasp/2.1.3/h2-n1","clasp/2.1.3/h3-n1","clasp/2.1.3/h4-n1","clasp/2.1.3/h5-n1","clasp/2.1.3/h6-n1","clasp/2.1.3/h7-n1","clasp/2.1.3/h8-n1","clasp/2.1.3/h9-n1"
-1.779792551491,1,0,0,0,0,0,0,0,0,0,0
-1.72761345206249,1,0,0,0,0,0,0,0,0,0,0
-1.67543435263398,1,0,0,0,0,0,0,0,0,0,0
-1.62325525320548,1,0,0,0,0,0,0,0,0,0,0
-1.57107615377697,1,0,0,0,0,0,0,0,0,0,0
-1.51889705434847,1,0,0,0,0,0,0,0,0,0,0
-1.46671795491996,1,0,0,0,0,0,0,0,0,0,0
-1.41453885549145,1,0,0,0,0,0,0,0,0,0,0
-1.36235975606295,0,2,0,0,0,0,0,0,0,0,0
-1.31018065663444,0,2,0,0,0,0,0,0,0,0,0
-1.25800155720593,0,0,3,0,0,0,0,0,0,0,0
-1.20582245777743,0,0,3,0,0,0,0,0,0,0,0
-1.15364335834892,0,0,0,0,5,0,0,0,0,0,0
-1.10146425892042,0,0,0,0,5,0,0,0,0,0,0
-1.04928515949191,0,0,0,0,5,0,0,0,0,0,0
-0.997106060063403,0,0,0,0,5,0,0,0,0,0,0
-0.944926960634897,0,0,0,0,5,0,0,0,0,0,0
-0.89274786120639,0,0,0,0,5,0,0,0,0,0,0
-0.840568761777884,0,0,0,0,5,0,0,0,0,0,0
-0.788389662349378,0,0,0,0,5,0,0,0,0,0,0
-0.736210562920872,0,0,0,0,5,0,0,0,0,0,0
-0.684031463492365,0,0,0,0,5,0,0,0,0,0,0
-0.631852364063859,0,0,0,0,5,0,0,0,0,0,0
-0.579673264635353,0,0,0,0,5,0,0,0,0,0,0
-0.527494165206846,0,0,0,0,5,0,0,0,0,0,0
-0.47531506577834,0,0,0,0,5,0,0,0,0,0,0
-0.423135966349834,0,0,0,0,5,0,0,0,0,0,0
-0.370956866921327,0,0,0,0,5,0,0,0,0,0,0
-0.318777767492821,0,0,0,0,5,0,0,0,0,0,0
-0.266598668064315,0,0,0,0,5,0,0,0,0,0,0
-0.214419568635809,0,0,0,0,5,0,0,0,0,0,0
-0.162240469207302,0,0,0,0,5,0,0,0,0,0,0
-0.110061369778796,0,0,0,0,5,0,0,0,0,0,0
-0.0578822703502897,0,0,0,0,5,0,0,0,0,0,0
-0.00570317092178341,0,0,0,0,5,0,0,0,0,0,0
0.0464759285067229,0,0,0,0,5,0,0,0,0,0,0
0.0986550279352292,0,0,0,0,5,0,0,0,0,0,0
0.150834127363735,0,0,0,0,5,0,0,0,0,0,0
0.203013226792242,0,0,0,0,5,0,0,0,0,0,0
0.255192326220748,0,0,0,0,5,0,0,0,0,0,0
0.307371425649254,0,0,0,0,5,0,0,0,0,0,0
0.35955052507776,0,0,0,0,5,0,0,0,0,0,0
0.411729624506267,0,0,0,0,5,0,0,0,0,0,0
0.463908723934773,0,0,0,0,5,0,0,0,0,0,0
0.51608782336328,0,0,0,0,5,0,0,0,0,0,0
0.568266922791786,0,0,0,0,5,0,0,0,0,0,0
0.620446022220292,0,0,0,0,5,0,0,0,0,0,0
0.672625121648799,0,0,0,0,5,0,0,0,0,0,0
0.724804221077305,0,0,0,0,5,0,0,0,0,0,0
0.776983320505811,0,0,0,0,5,0,0,0,0,0,0
0.829162419934317,0,0,0,0,5,0,0,0,0,0,0
0.881341519362824,0,0,0,0,5,0,0,0,0,0,0
0.93352061879133,0,0,0,0,5,0,0,0,0,0,0
0.985699718219836,0,0,0,0,5,0,0,0,0,0,0
1.03787881764834,0,0,0,0,5,0,0,0,0,0,0
1.09005791707685,0,0,0,0,5,0,0,0,0,0,0
1.14223701650536,0,0,0,0,5,0,0,0,0,0,0
1.19441611593386,0,0,0,0,5,0,0,0,0,0,0
1.24659521536237,0,0,0,0,5,0,0,0,0,0,0
1.29877431479087,0,0,0,0,5,0,0,0,0,0,0
1.35095341421938,0,0,0,0,5,0,0,0,0,0,0
1.40313251364789,0,0,0,0,5,0,0,0,0,0,0
1.45531161307639,0,0,0,0,5,0,0,0,0,0,0
1.5074907125049,0,0,0,0,5,0,0,0,0,0,0
1.55966981193341,0,0,0,0,5,0,0,0,0,0,0
1.61184891136191,0,0,0,0,5,0,0,0,0,0,0
1.66402801079042,0,0,0,0,5,0,0,0,0,0,0
1.71620711021892,0,0,0,0,5,0,0,0,0,0,0
1.76838620964743,0,0,0,0,5,0,0,0,0,0,0
1.82056530907594,0,0,0,0,5,0,0,0,0,0,0
1.87274440850444,0,0,0,0,5,0,0,0,0,0,0
1.92492350793295,0,0,0,0,0,0,7,0,0,0,0
1.97710260736146,0,0,0,0,0,0,7,0,0,0,0
2.02928170678996,0,0,0,4,0,0,0,0,0,0,0
2.08146080621847,0,0,0,4,0,0,0,0,0,0,0
2.13363990564697,0,0,0,0,0,0,0,0,9,0,0
2.18581900507548,0,0,0,0,0,0,0,0,9,0,0
2.23799810450399,0,0,0,0,0,0,0,0,9,0,0
2.29017720393249,0,0,0,0,0,0,0,0,9,0,0
2.342356303361,0,0,0,0,0,0,0,0,9,0,0
