"quantiles","airt","shapley","topset"
0.1,0,0,0
0.2,0,0,0
0.3,0,0.000360130000000005,0
0.4,0.000959819999999998,0.18479054,0
0.5,0.1119831,1.9340385,0.013998
0.6,6.94814131999999,7.98457907999999,1.19289314
0.7,29.21440755,43.79344808,9.74448495
0.8,160.5292732,137.1653313,48.6486658000004
0.9,520.832496,429.015053,405.6950294
0.95,1031.812798,949.023487999999,741.982641999999
0.96,1192.3351292,1101.18080204,849.618467239999
0.97,1565.1023144,1412.86413428,1251.60566068
0.98,1937.8694996,1724.54746652,1653.59285412
0.99,2310.6366848,2036.23079876,2055.58004756
