"quantiles","airt","shapley","topset"
0.1,0,0,0
0.2,0,0,0
0.3,0,0,0
0.4,0,0,0
0.5,0.0075,0.003,0
0.6,0.0612,0.0414,0
0.7,0.302500000000001,0.360600000000001,0.0210000000000003
0.8,1.8686,1.9706,0.1942
0.9,9.3182,6.9683,5.0027
0.95,26.8115,30.21725,1832.1166
0.96,33.168,43.2125999999999,1862.25128
0.97,57.22894,71.30601,2603.90891999999
0.98,90.81596,107.43534,3650.61728
0.99,900.580680000005,1703.45208000001,6165.25111000001
