"quantiles","airt","shapley","topset"
0.1,0,0,0
0.2,0,0,0
0.3,0,0,0
0.4,0,0,0
0.5,0,0,0
0.6,0,0,0
0.7,0.000615294000000029,0.000771510000000008,0
0.8,0.130872419,0.049817772,0.001570106
0.9,2.83977629,1.71609893,0.32000012
0.95,13.47791771,14.717219045,5.83874737
0.96,17.8812079479999,33.0804627599999,14.3641367199998
0.97,29.67320447,50.3914573799998,30.9933558999999
0.98,50.5006137199998,78.7401237999998,44.9195867999999
0.99,116.75452148,144.4794181,112.6421329
