"latenttrait","ahms-1.70","ahms-ls-1.70","CCEHC2akms","CCLS2akms","LMHS-2016","maxhs-b","maxino16-c10","maxino16-dis","mscg2015a","mscg2015b","Naps-1.02-ms","Open-WBO15","Open-WBO16","Optiriss6","QMaxSAT14","QMaxSAT16UC","WMaxSatz+","WMaxSatz09","WPM3-2015-co"
-2.01641996362107,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.95173624721442,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.88705253080778,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.82236881440114,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.75768509799449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
-1.69300138158785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
-1.6283176651812,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
-1.56363394877456,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
-1.49895023236791,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
-1.43426651596127,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.36958279955462,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.30489908314798,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.24021536674134,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.17553165033469,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.11084793392805,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0461642175214,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.981480501114758,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.916796784708113,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
