"quantiles","airt","shapley","topset"
0.1,0,0,0
0.2,0,0,0
0.3,0,0,0
0.4,0,0,0
0.5,0,0,0
0.6,0,0,0
0.7,0,0,0
0.8,0,0,0
0.9,0,0,0
0.95,0,0,0
0.96,0,0,0
0.97,0,0,0
0.98,0.000371772893585445,0.0033439359044621,0.00259216342996969
0.99,0.00362876579965913,0.00676993354651777,0.00552112629177127
