"quantiles","airt","shapley","topset"
0.1,0,0,0
0.2,0,0,0
0.3,0,0,0
0.4,0,0,0
0.5,0,0,0
0.6,0,0,0
0.7,0,0,0
0.8,0.0200000000000045,0.320000000000005,0
0.9,0.6,9.04000000000003,0
0.95,4.005,60.4199999999987,0.1
0.96,4.828,109.296,2.81199999999999
0.97,6.43800000000001,241.159,34.006
0.98,18.4019999999996,1208.23199999999,326.753999999996
0.99,40.7129999999997,16868.6359999997,7760.59699999958
